approach,fold,metric,num_solvers_in_schedule,result,scenario_name
oracle,4.0,par10,,83.82,SAT12-INDU
sbs,4.0,par10,,500.22,SAT12-RAND
sbs,4.0,number_unsolved_instances_False,,0.04,SAT12-RAND
sbs,4.0,number_unsolved_instances_True,,0.04,SAT12-RAND
oracle,4.0,par10,,39.94,SAT12-RAND
sbs,4.0,par10,,1762.94,SAT15-INDU
sbs,4.0,number_unsolved_instances_False,,0.03,SAT15-INDU
sbs,4.0,number_unsolved_instances_True,,0.03,SAT15-INDU
oracle,4.0,par10,,211.77,SAT15-INDU
sbs,4.0,par10,,49.12,TSP-LION2015
sbs,4.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,4.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,5.0,par10,,463.98,ASP-POTASSCO
sbs,5.0,number_unsolved_instances_False,,0.07,ASP-POTASSCO
sbs,5.0,number_unsolved_instances_True,,0.07,ASP-POTASSCO
sbs,5.0,par10,,9470.53,BNSL-2016
sbs,5.0,number_unsolved_instances_False,,0.13,BNSL-2016
sbs,5.0,number_unsolved_instances_True,,0.13,BNSL-2016
sbs,5.0,par10,,3612.19,CPMP-2015
sbs,5.0,number_unsolved_instances_False,,0.09,CPMP-2015
sbs,5.0,number_unsolved_instances_True,,0.09,CPMP-2015
sbs,5.0,par10,,975.02,CSP-2010
sbs,5.0,number_unsolved_instances_False,,0.02,CSP-2010
sbs,5.0,number_unsolved_instances_True,,0.02,CSP-2010
oracle,5.0,par10,,93.76,CSP-2010
sbs,5.0,par10,,6197.84,CSP-MZN-2013
sbs,5.0,number_unsolved_instances_False,,0.34,CSP-MZN-2013
sbs,5.0,number_unsolved_instances_True,,0.34,CSP-MZN-2013
oracle,5.0,par10,,118.74,CSP-MZN-2013
sbs,5.0,par10,,1502.48,CSP-Minizinc-Time-2016
sbs,5.0,number_unsolved_instances_False,,0.12,CSP-Minizinc-Time-2016
sbs,5.0,number_unsolved_instances_True,,0.12,CSP-Minizinc-Time-2016
oracle,5.0,par10,,6.2,CSP-Minizinc-Time-2016
sbs,5.0,par10,,10804538.84,GRAPHS-2015
sbs,5.0,number_unsolved_instances_False,,0.01,GRAPHS-2015
sbs,5.0,number_unsolved_instances_True,,0.01,GRAPHS-2015
sbs,5.0,par10,,1715.98,MAXSAT-PMS-2016
sbs,5.0,number_unsolved_instances_False,,0.09,MAXSAT-PMS-2016
sbs,5.0,number_unsolved_instances_True,,0.09,MAXSAT-PMS-2016
oracle,5.0,par10,,74.54,MAXSAT-PMS-2016
sbs,5.0,par10,,796.51,MAXSAT-WPMS-2016
sbs,5.0,number_unsolved_instances_False,,0.04,MAXSAT-WPMS-2016
sbs,5.0,number_unsolved_instances_True,,0.04,MAXSAT-WPMS-2016
oracle,5.0,par10,,72.32,MAXSAT-WPMS-2016
sbs,5.0,par10,,2085.56,MAXSAT12-PMS
sbs,5.0,number_unsolved_instances_False,,0.1,MAXSAT12-PMS
sbs,5.0,number_unsolved_instances_True,,0.1,MAXSAT12-PMS
oracle,5.0,par10,,29.96,MAXSAT12-PMS
sbs,5.0,par10,,1431.04,MAXSAT15-PMS-INDU
sbs,5.0,number_unsolved_instances_False,,0.07,MAXSAT15-PMS-INDU
sbs,5.0,number_unsolved_instances_True,,0.07,MAXSAT15-PMS-INDU
oracle,5.0,par10,,86.24,MAXSAT15-PMS-INDU
oracle,5.0,par10,,681.09,MIP-2016
sbs,5.0,par10,,1086.59,MIP-2016
sbs,5.0,number_unsolved_instances_False,,0.0,MIP-2016
sbs,5.0,number_unsolved_instances_True,,0.0,MIP-2016
sbs,5.0,par10,,10171.4,PROTEUS-2014
sbs,5.0,number_unsolved_instances_False,,0.28,PROTEUS-2014
sbs,5.0,number_unsolved_instances_True,,0.28,PROTEUS-2014
sbs,5.0,par10,,9749.9,QBF-2011
sbs,5.0,number_unsolved_instances_False,,0.27,QBF-2011
sbs,5.0,number_unsolved_instances_True,,0.27,QBF-2011
oracle,5.0,par10,,76.05,QBF-2011
sbs,5.0,par10,,2457.95,QBF-2014
sbs,5.0,number_unsolved_instances_False,,0.27,QBF-2014
sbs,5.0,number_unsolved_instances_True,,0.27,QBF-2014
oracle,5.0,par10,,28.96,QBF-2014
sbs,5.0,par10,,2981.58,QBF-2016
